ReviewID,MemberID,Verified,RealName,ReviewOrder,ProductID,Date,Rating,HelpfulFeedbacks,Feedbacks,Title,Body
600982,A3S8OV1ARSIS1,0,1,2,B0002Y5WZC,9/4/2007,5,0,3,Nice camera bag,This is a nice bag. It was too big for my needs so I returned it.
600960,A2T036DGT1BGY1,0,1,1,B0002Y5YFK,1/31/2007,1,0,14,Never received it.,"I waited and waited for this item.  One email said it was sent, another said it was canceled and after that, another email said I should have received it by now.  Finally after a long time, I received an email saying it was out of stock.  I am very confused with all the different emails.   I was very disappointed in this company."
600760,A2A10ZSC2RH4RG,0,1,1,B0002Y7GGA,10/15/2004,5,0,0,HTML 4.01 Programming Curriculum CBT Training CDs,"Course Overview This curriculum presents learners with the basic concepts and skills in HTML 4.01. It covers World Wide Web basics, formatting web pages, creating links, images and multimedia, tables and frames, and placing information online. This curriculum also covers advanced topics in HTML 4.01 to include how to enhance web pages, introduce interactivity in web pages, and DHTML and CSS. This curriculum consists of two courses: Course 86041 HTML 4.01 Part 1: Fundamentals Course 86042 HTML 4.01 Part 2: Advanced Topics Learn To See individual course descriptions for specific course objectives and scope. Audience The intended audience for this curriculum includes, System Administrators, Database Administrators, Help Desk/Support, Application Developers, System Analysts and Software Engineers. Learners are expected to have an understanding of basic Internet and Website concepts. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits Per Course CEU credits: 1.40 CEUs Language Options US English Total Learning Time 12 to 16 hours"
600759,A2A10ZSC2RH4RG,0,1,1,B0002Y7WBO,10/15/2004,5,0,0,Java Enterprise Connectivity Curriculum CBT Training CDs,"Trunc, Course Overview This curriculum introduces learners to enterprise computing and to the Java 2 Platform, Enterprise Edition. It also teaches how to design enterprise-level, N tier Java Applications and the basics about client development, including client-side programming and using the Java Naming Directory Interface (JNDI). Additional topics covered are Web and server-side development, how to use RMI and JDBC, the design and development of Enterprise Java Beans, and lastly the function and purpose of entity beans, container-managed and bean-managed persistence, EJB transactions, and deployment issues, including packaging and assembling EJBs. # This curriculum consists of five courses: Course 86021 Java 2 Enterprise Connectivity Part 1: Architecture and Client Development # Course 86022 Java 2 Enterprise Connectivity Part 2: Java Server Pages and Servlets # Course 86023 Java 2 Enterprise Connectivity Part 3: RMI and JDBC # Course 86024 Java 2 Enterprise Connectivity Part 4: EJB Architecture, Session Beans, and Security # Course 86025 Java 2 Enterprise Connectivity Part 5: Entity Beans, EJB Transactions and Deployment Learn To See individual course descriptions for specific course objectives and scope. Audience The targeted audiences for this curriculum are System Administrators, Application Developers, System Analysts, Software Engineers, and Programmer/Analysts. Learners should be experienced with object-oriented design and the Java programming language. It would be helpful for learners to be familiar with distributed programming (multi-tier architecture), relational or object database programming, transactions, and component technology. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits Per Course CEU credits: 3.50 CEUs Language Options US English Total Learning Time 30 to 40 hours Java 2 Enterprise Connectivity Part 1: Architecture and Client Development Training CD Course Overview This first course in the series provides the foundation for the rest of the course series. It introduces learners to enterprise computing and to the Java 2 Platform, Enterprise Edition. It also teaches how to design enterprise-level, N tier Java Applications and the basics about client development, including client-side programming and using the Java Naming Directory Interface (JNDI). Learn To # Identify distributed computing systems. # Identify the benefits of enterprise computing, and the technologies used to create enterprise applications. # Identify the information about the J2EE platform. # Identify the multitier application model that is supported by J2EE. Audience The targeted audiences for this course are System Administrators, Application Developers, System Analysts, Software Engineers, and Programmer/Analysts. Learners should be experienced with object-oriented design and the Java programming language. It would be helpful for learners to be familiar with distributed programming (multi-tier architecture), relational or object database programming, transactions, and component technology. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits ITCAP credits: Not Applicable CEU credits: 0.70 CEUs Language Options US English Total Learning Time 6 to 8 hours Objectives Unit 1: Distributed and Enterprise Computing 3 - 4 hours # Match the application model architecture with the situation in which it is implemented. # Identify the benefits of distributed computing in a specific situation. # Identify the strategies that conform to the guidelines for designing a distributed computing system in the specified situation. # Evaluate tradeoffs in designing distributed computing systems. # Identify the benefits of enterprise computing in a specific situation. # Identify the technology that is used to create an enterprise application in a specific situation. Unit 2: J2EE 3 - 4 hours # Identify the benefits of implementing J2EE in a specific situation. # Identify the J2EE platform role that provides a solution in a specific situation. # Select the J2EE component technology that provides the specified functionality in a given situation. # Match each J2EE service technology with its function in a specific situation. # Match the communication technology that enables information flow between components with the specified components in a J2EE application. # Select the reason for implementing a Web-centric or EJB-centric design pattern in a specific situation. # Select the appropriate application design that can be used to create a J2EE application in a specific situation. # Identify the change to be made in a specific tier to optimize the functionality of a J2EE application in a specified situation. # Analyze a specific situation to identify the J2EE client-programming issues that need to be considered in the situation. # Identify the JNDI code that creates the required initial context. # Identify the JNDI code that performs the specified directory operation. # Identify the NamingShell application code that performs the specified directory operation. Java 2 Enterprise Connectivity Part 2: Java Server Pages and Servlets Training CD Course Overview This second course in the series teaches about Web and server-side development. It introduces the current server-side Java technologies used in Web Application Development and explains the client and server Interaction. It teaches how to create Java Server Pages and servlets and distinguishes their responsibilities. It also covers the servlet life cycle and session tracking. Learn To # Identify the basics of server-side applications and the advantages and creation of JSP. # Identify how to create and invoke a servlet and track a client session by using sessions and cookies. Audience The target audiences for this course are System Administrators, Application Developers, System Analysts, Software Engineers and Programmer/Analysts. Learners should be experienced with object-oriented design and the Java programming language. It would be helpful for learners to be familiar with distributed programming (multi-tier architecture), relational or object database programming, transactions, and component technology. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits ITCAP credits: Not Applicable CEU credits: 0.70 CEUs Language Options US English Total Learning Time 6 to 8 hours Objectives Unit 1: Web Application Development: JSP 3 - 4 hours # Match the methods of HTTP with the functionality they provide in a specific scenario. # Identify the server-side technology to be used in a specific situation. # Assign responsibilities to the EJBs, servlets, and JSP pages in an application. # Identify the advantages of using JSP instead of other technologies in a specific situation. # Complete the JSP page code to generate dynamic Web content. # Identify the attributes of a JSP directive to be used in a specific situation. # Identify the piece of code that correctly uses predefined variables in a specific situation. Unit 2: Web Application Development: Servlets 3 - 4 hours # Identify the situations in which it is advantageous to use a servlet instead of a CGI application. # Match the methods in the servlet life cycle with the situations in which these are used. # Complete the code for creating a servlet by using the javax.servlet package. # Complete the code for creating a servlet by using the javax.servlet.http package. # Invoke a servlet by adding the servlet in a servlet chain. # Complete the code that uses SSI to invoke a servlet. # Complete the code for creating a servlet that handles form data by using the getParameter() method. # Identify the code for implementing a threadsafe servlet in a specific situation. # Identify the code for implementing background processing for a specific activity in a servlet. # Select a code snippet for implementing a specified error-handling mechanism in a servlet. # Identify the session tracking technique that can be used in a specific scenario. # Identify th"
600758,A2A10ZSC2RH4RG,0,1,1,B0002Y8HH2,10/19/2004,5,0,0,Java Servlets Curriculum CBT Training CDs,"Course Overview This curriculum introduces the learner to Java Servlets API, which is part of Java 2 Enterprise Edition, and it describes how servlets enable easy and effective creation of server-side business solutions. It covers the features of J2EE, an introduction to the function of servlets and Web application development the basics of creating servlets, the servlet life cycle, and how JavaServer Pages work with servlets to create dynamic Web content. This curriculum consists of three courses: Course 86016 Java Servlets Part 1: Introduction, Life Cycle and JSP Course 86017 Java Servlets Part 2: Creating Servlets Course 86018 Java Servlets Part 3: Databases, Chaining, Security, Applets and Beans Learn To See individual course descriptions for specific course objectives and scope. Audience The target audiences for this curriculum are System Administrators, Application Developers, System Analysts, Software Engineers, and Programmer/Analysts. Learners should be able to develop Java programs, develop CGI programs, identify hypertext transfer protocol (HTTP) methods, and produce HTML Web pages. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits Per Course CEU credits: 2.10 CEUs Language Options US English Total Learning Time 18 to 24 hours Java Servlets Part 1: Introduction, Life Cycle and JSP Training CD Course Overview This first course in the series introduces the Java Servlets API, which is part of Java 2 Enterprise Edition, and it describes how servlets enable easy and effective creation of server-side business solutions. It covers the features of J2EE, an introduction to the function of servlets and Web application development the basics of creating servlets, the servlet life cycle, and how JavaServer Pages work with servlets to create dynamic Web content. Learn To Identify the details of the Web client-server interaction. Identify the various server-side technologies. Identify the architecture, services, application model, and benefits of J2EE. Describe the benefits of servlets. Identify the uses of the methods used in the servlet life cycle, and the classes and interfaces in the servlet packages. Create and invoke a servlet. Identify the benefits of JSP and elements on a JSP page. Identify the integration of JSP with JavaBeans and the architectural overview of JSP. Audience The target audiences for this course are System Administrators, Application Developers, System Analysts, Software Engineers, and Programmer/Analysts. Learners should be able to develop Java programs, develop CGI programs, identify hypertext transfer protocol (HTTP) methods, and produce HTML Web pages. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits ITCAP credits: Not Applicable CEU credits: 0.70 CEUs Language Options US English Total Learning Time 6 to 8 hours Objectives Unit 1: Web Architecture and J2EE 2 - 3 hours Sequence the steps of a Web client-server interaction in a specific situation. Select a server-side technology for a specific situation. Match the components of the J2EE run-time environment with their uses. Match J2EE service APIs with their uses. Identify the reason for selecting an application programming model in a specific scenario. Identify the components in the J2EE application programming model that provide specific benefits. Unit 2: Servlets 2 - 3 hours Identify the situations in which it is beneficial to use a servlet as compared with a CGI application. Match the methods used in the servlet life cycle with the activities they perform in a specific situation. Match the interfaces of the javax.servlet package with their uses in a specific situation. Match the classes of the javax.servlet package with their uses in a specific situation. Match the interfaces of the javax.servlet.http package with their uses in a specific situation. Match the classes of the javax.servlet.http package with their uses in a specific situation. Identify the code for creating a servlet in a specific situation. Match the methods used to invoke a servlet with the situations in which they should be used. Unit 3: JSP 2 hours Identify the benefit of using JSP in a specific situation. Identify the code that correctly uses JSP elements on a JSP page. Identify the JavaBeans code that should be used in a specific situation. Identify the components in the various implementations of JSP architecture."
600706,ADXJCA1GZXX5Z,0,0,1,B0002YDYSE,7/8/2005,3,1,11,OK Board for Intel ... but ...,"This is an OK Intel Board for a Pentium 4 processor, however from now on I'll go with a board that supports an AMD processor (I'm finished with Intel and will now only use AMD)"
600562,A1QUAILE8NYGCS,0,1,2,B0002YE6EU,1/18/2007,5,0,10,Canon monopod,"Dont know it was a gift, but no complaints... I thought it was a nice size and seemed to work right..."
600526,ALXWZY7TOMW5Z,0,0,1,B0002YE6FY,7/9/2007,1,0,10,Terrible packaging,Nothing wrong with the lens hood (except the price) but Amazon's packing standards are TERRIBLE!!! Little hood in a big box with a couple of inflated bags and plenty of room to shift aboput and take knocks. Sam
600508,A2CXWA4F386LQW,0,1,1,B0002YE6GI,11/15/2005,1,7,20,"Fake, Simularum amazon!",It is made in China. It is not Canon. The tag is in inside.
600479,A2A10ZSC2RH4RG,0,1,1,B0002YGDHI,10/15/2004,5,0,0,JDBC Application Development Curriculum CBT,"Trunc, Course Overview The JDBC Application Development Curriculum introduces learners to the JDBC API and explains how it is used to access any database from Java. It provides more detailed information about types of JDBC drivers and how to use them with Java programs. It also covers basic features of using data definition language and data manipulation language commands to create and query tables and databases. It teaches learners skills needed to help them create more advanced databases, advanced features for creating JDBC programs, including prepared statements, stored procedures, transactions, concurrency control, and metadata. It also teaches how to map an object-oriented design to a relational database and how to use SQLJ standards with Java. Lastly, how to use the new features in the JDBC 2.0 core API is covered. # This curriculum consists of four courses: Course 86006 JDBC Application Development Part 1: Introduction and Architecture # Course 86007 JDBC Application Development Part 2: Creating Database Programs # Course 86008 JDBC Application Development Part 3: Advanced Features, OOAD and SQLJ # Course 86009 JDBC Application Development Part 4: The 2.0 Core and Optional APIs Learn To See individual course descriptions for specific course objectives and scope. Audience The target audiences for this curriculum are System Administrators, Database Administrators, Application Developers, System Analysts, Software Engineers, and Programmer/Analysts. Learners should be able to design applications using object-oriented analysis and design, develop applications using the Java programming language, and use SQL to retrieve and manipulate data in a relational database. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits Per Course Language Options US English Total Learning Time 24 to 32 hours Java 2 JDBC Application Development Part 1: Introduction and Architecture Training CD Course Overview This first course in the series provides the foundation for the rest of the course series. It introduces learners to the JDBC API and explains how it is used to access any database from Java. It also covers the basics of working with relational database systems, how to use JDBC to design multi-tier database applications, and an overview of the major steps in the JDBC program. Learn To # Identify the features and components of RDBMSs. # Identify the features of SQL. # Identify how to create and manipulate database tables, and the concepts of database querying and transaction control. # Identify the features of the JDBC API. # Identify the architecture of JDBC and advantages and limitations of two-tier and multitier JDBC applications. # Identify the basic JDBC programming concepts used to establish a database connection. # Identify the methods used for updating and querying a database, and processing the result set. Audience The target audiences for this course are System Administrators, Database Administrators, Application Developers, System Analysts, Software Engineers, and Programmer/Analysts. Learners should be able to design applications using object-oriented analysis and design, develop applications using the Java programming language, and use SQL to retrieve and manipulate data in a relational database. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits ITCAP credits: Not Applicable CEU credits: 0.70 CEUs Language Options US English Total Learning Time 6 to 8 hours Objectives Unit 1: RDBMS: Concepts 2 - 3 hours # Match the features of an RDBMS with their benefits. # Match the components of an RDBMS with their functions. # Identify the components of an RDBMS. # Match the features of SQL with the situations in which the features can be used. # Complete the code to define a database table by using DDL commands. # Identify the code for manipulating tables by using DML commands. # Identify the code to query a database for extracting data by using the SELECT clause. # Identify the code for executing an advanced query on a database in a specified situation. # Identify the code to retrieve data from multiple tables using a join query. # Identify the situations where transaction processing can be used to solve data integrity problems. Unit 2: JDBC: Concepts 2 - 3 hours # Match the advantages of JDBC with the situations in which the advantages are used. # Match the database management features of JDBC with the situations implementing the features. # Match the application management features of JDBC with the situations implementing the features. # Label the flowchart depicting the JDBC communication path with the components used. # Match the types of JDBC drivers with their features. # Identify the advantages of implementing a JDBC two-tier application. # Identify the limitations of implementing a JDBC two-tier application. # Match the features of a JDBC multitier application with the situation in which they are implemented. Unit 3: DBC: Programming 2 hours # Identify the JDBC URL syntax to access a database in a specified situation. # Match the method of loading a driver with the situation in which it is used. # Sequence the steps in the process for establishing a database connection. # Complete the code for manipulating a table by using the executeUpdate() method. # Select the code for querying a database by using the executeQuery() method. # Identify the code for processing the result set of a query performed on a database table. Java 2 JDBC Application Development Part 2: Creating Database Programs Training CD Course Overview This second course in the series teaches how to use the JDBC API to create database programs. It provides more detailed information about types of JDBC drivers and how to use them with Java programs. It also covers basic features of using data definition language and data manipulation language commands to create and query tables and databases. Learn To # Identify the types of JDBC drivers and how to use them with the Java programs. # Identify the installation of an RDBMS. # Create database programs using DDL and DML commands in JDBC and accessing data using JDBC. Audience The target audiences for this course are System Administrators, Database Administrators, Application Developers, System Analysts, Software Engineers, and Programmer/Analysts. Learners should be able to design applications using object-oriented analysis and design, develop applications using the Java programming language, and use SQL to retrieve and manipulate data in a relational database. Deployment Options e-Learning Accreditation NASBA credits: 4 CPE Credits ITCAP credits: Not Applicable CEU credits: 0.70 CEUs Language Options US English Total Learning Time 6 to 8 hours Objectives Unit 1: JDBC Drivers 3 - 4 hours # Match the functions of the JDBC DriverManager class with the situations in which they are used. # Match the various types of drivers with the situations in which they are used. # Match the characteristics of the JDBC-ODBC Bridge Driver with the situations in which they are useful. # Identify the code used to load a JDBC driver. # Establish a connection with a database by using a registered JDBC driver. # Shut down an established connection. Unit 2: JDBC and Database Commands 3 - 4 hours # Identify the DDL commands to be used in the specified situations. # Identify the code to create a table by executing a DDL command in JDBC for a specified situation. # Identify the code to alter a table by executing a DDL command in JDBC for a specified situation. # Identify the code to drop a table by executing a DDL command in JDBC for a specified situation. # Identify the DML commands to be used in the specified situations. # Identify the code to insert a row into a table by executing a DML command in JDBC. # Identify the code to update a row in a table by executing a DML command in JDBC. # Identify the code to delete a row in a table by executing a DML command in JDBC. # Identify the code to query a database by using the executeQu"
