ReviewID,MemberID,Verified,RealName,ReviewOrder,ProductID,Date,Rating,HelpfulFeedbacks,Feedbacks,Title_x,Body,Sales Rank,Brand,Sales Price,Title_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
599914,A30AXUOZHZ1T61,0,1,223,B0002ZAIM8,2/23/2005,5,17,22,The latest news about iPod family,"**** LATEST update to iPod family **** - iPod & iPod photo lines merged; no more iPod photo 30 GB - iPod comes in two capacities - 20 GB ($299), 60 GB ($399) with color screen & photo support - U2 iPod (20 GB) down to $329 from $349 - with color screen & photo support - iPod shuffle 1 GB down to $129 from $149 - iPod 60 GB down to $399 from $449 - new version of iTunes (4.9) that support podcasts *************************************** This is not a review of iPod shuffle as such - great reviews are available already.  Here is some information that might help in deciding which iPod to go for. Apple announced a major upgrade to the iPod lineup today (23 Feb 2005). The biggest advantage is the reduction in price ($ per GB) and improvement in battery life. Another significant change is that USB 2.0 is being emphasized although FireWire continues to be supported. AC adapter is USB based instead of FireWIre and the FireWire based AC adapter still sells as a separate product. The impact on iPod mini: > A new model, iPod mini 6 GB is introduced for $249 > iPod mini 4 GB now priced at $199 ($50 down from earlier price) > Change in colors - now mini is available in new shades of Silver, Blue, Pink, and Green (the Gold color is discontinued) > Major improvement in battery life - up to 18 hours (was 8 hours earlier) > AC adapter ($29) and firewire cable ($19) no longer shipped with mini (you may not need them really) > iPod mini 4 GB and 6 GB now ship with only three things: earphones, belt clip, and USB 2.0 cable > The indicators on the click wheel now match the color of the iPod mini The impact on bigger iPods: > iPod 40 GB is discontinued > iPod photo 40 GB is discontinued > iPod photo 30 GB (new product) replaces the 40 GB iPod photo and the regular iPod 40 GB > iPod photo 60 GB now costs $150 less -- $449 instead of $599 > iPod photo 30 GB costs $349 ($150 less than iPod photo 40 GB and $50 less than regular iPod 40 GB) > iPod dock ($39), AV cable ($19), carrying case ($29), and firewire cable ($19) do not ship with iPod photo (you may not really need them) > Now we get three things with iPod photo: earphones, USB based AC adapter, USB 2.0 cable > In additon to the above, a firewire cable continues to ship with iPod 20 GB & iPod U2 edition > iPod photo Camera Connector is introduced - this can be used for connecting your digital camera directly to the iPod With these changes, there is an interesting $50 gap between: > iPod 20 GB and iPod photo 30 GB > iPod mini 6 GB and iPod 20 GB (as earlier) > iPod mini 4 GB and iPod mini 6 GB > iPod shuffle 1 GB and iPod mini 4 GB > iPod shuffle 512 MB and iPod shuffle 1 GB (as earlier) Price, size, weight, and ease of use are major considerations while buying an iPod shuffle.  If price is the only factor, iPod mini could be a better choice over shuffle.  I have all the models of iPod (shuffle, mini, regular 40 GB, and photo 60 GB) and I find myself sticking to the iPod photo 60 GB since it carries all my music and has a better, color-based user interface.",578,Apple Computer,99.99,Apple 1 GB iPod Shuffle,Binding->Electronics,BatteriesIncluded->1,Brand->Apple,BatteryDescription->1 Integrated rechargeable,EAN->0718908849750,Format->CD,Label->Apple Computer,ListPrice,Manufacturer->Apple Computer,Model->M9725LL/A,MPN->M9725LL/A,NumberOfItems->1,PackageDimensions,ProductGroup->CE,Publisher->Apple Computer,Studio->Apple Computer,"Feature->1 GB model holds up to 240 songs; supports MP3, MP3 VBR, AAC, Protected AAC (from iTunes Music Store, M4A, M4B, M4P), and WAV","Feature->Up to 12 hours of battery life, with approximately 4 hour charge time",Feature->USB 1.1 and 2.0 compatibility through integrated USB connector,Feature->Compatible with Mac OS X v10.2.8 or later (Mac OS X 10.3.4 or later recommended for use with low-power USB ports) and Windows 2000 with SP 4 or Windows XP Home or Professional with SP 2,"Feature->Earbud headphones, lanyard, and USB cap included"
603274,A29WO2LA2ZVAPR,0,1,1,B0002U34NS,4/20/2005,1,0,0,DeLonghi 50-pint Dehumidifier,"After three unsuccessful attempts at delivery, I cancelled the overdue order. Never again.",200916,DeLonghi,0.0,DeLonghi DE50P 50-Pint Capacity DeHumidifier,Manufacturer->DeLonghi,Brand->DeLonghi,MPN->DE50P,Label->DeLonghi,ProductGroup->Kitchen,,,,,,,,,,,,Publisher->DeLonghi,Studio->DeLonghi,Title->DeLonghi DE50P 50-Pint Capacity DeHumidifier,,
605178,A30AXUOZHZ1T61,0,1,289,B0002OZXHO,2/23/2005,5,6,9,Look at the latest enhancement - color iPod for the same price!!,"**** LATEST update to iPod family **** - iPod & iPod photo lines merged; no more iPod photo 30 GB - iPod comes in two capacities - 20 GB ($299), 60 GB ($399) with color screen & photo support - U2 iPod (20 GB) down to $329 from $349 - with color screen & photo support - iPod shuffle 1 GB down to $129 from $149 - iPod 60 GB down to $399 from $449 - new version of iTunes (4.9) that support podcasts *************************************** This is not a review of iPod 20 GB as such - great reviews are available already. Here is some information that might help in deciding which iPod to go for. You may want to look at iPod photo 30 GB instead of this product, from now onwards...  With just $50 more, you get a iPod photo 30 GB with a color screen! Today (23 Feb 2005), Apple announced a major change in its iPod lineup and here is how it affects iPod 40 GB and iPod photo models: > iPod 40 GB is discontinued > iPod photo 40 GB is discontinued > iPod photo 30 GB (new product) replaces the 40 GB iPod photo and the regular iPod 40 GB > iPod photo 60 GB now costs $150 less -- $449 instead of $599 > iPod photo 30 GB costs $349 ($150 less than iPod photo 40 GB and $50 less than regular iPod 40 GB) > iPod dock ($39), AV cable ($19), carrying case ($29), and firewire cable ($19) do not ship with iPod photo (you may not really need them) > Now we get three things with iPod photo: earphones, USB based AC adapter, USB 2.0 cable > In additon to the above, a firewire cable continues to ship with iPod 20 GB & iPod U2 edition > iPod photo Camera Connector is introduced - this can be used for connecting your digital camera directly to the iPod Since I have iPod 40 GB as well as iPod photo 60 GB, I strongly recommend iPod photo for those who are looking beyond the iPod 20 GB. The color screen has much better resolution and it also has a scrolling feature for long texts. Of course, the ability to store and view the photos is a great value addition too.",1227,Apple Computer,269.99,Apple 20 GB iPod M9282LL/Aá(4th Generation),Color->black,Binding->Electronics,EAN->0018908524603,Brand->Apple,"Feature->20 GB model holds up to 5,000 songs; supports AAC (16 to 320 Kbps), MP3 (32 to 320 Kbps), MP3 VBR, Audible, AIFF, Apple Lossless and WAV",Label->Apple Computer,ListPrice,Manufacturer->Apple Computer,Model->M9282LL/A,MPN->M9282LL/A,NumberOfItems->1,PackageDimensions,ProductGroup->CE,Publisher->Apple Computer,Studio->Apple Computer,Title->Apple 20 GB iPod M9282LL/Aá(4th Generation),Feature->Up to 12 hours battery life when fully charged (typically 4 hours); fast-charge in as little as 2 hours,Feature->Mac OS X or Windows 2000 and XP compatible; FireWire and USB 2.0 interface for fastest digital transfer available,"Feature->Feature upgrades from previous version include new Click Wheel, slimmer case, and easier navigation","Feature->Comes with earbud headphones, AC adapter, FireWire cable, and USB 2.0 cable (dock not included)",ItemDimensions
605612,A1JWSDDIH5Z7DV,0,1,15,B0002OG6OI,9/15/2004,5,17,21,"Powerful, elegant new iMac with Superdrive.","Apple is, quite simply, the best and most innovative computer manufacturer. A recent user survey in PC magazine identified Apple computers as the most reliable and easiest to use computers currently available and last year Apple's Power Macintosh G5 was designated computer of the year. Now the powerful 64-bit G5 processor is available in an elegant new iMac design. Yes, most people use Windows-based PCs, but do you want to be just another member of the PC herd -- with all of the problems and frustrations presented by Windows-based PCs -- or are you looking for a computer which is user friendly, seldom crashes, and is virtually impervious to virus attacks? If these virtues are more important to you than being one of the crowd, please seriously consider buying an Apple computer. The new iMac G5 is Apple's latest iteration of the innovative iMac series of compact, user friendly computers at reasonable prices. Like all G5-powered Apple computers this new iMac is a very fast computer -- more than twice as fast as a Pentium 4 with the same clock speed -- and has a state-of-the-art 64-bit processor. All computers will have 64-bit processors some day but very few PCs, except for Apple G5s, have them at this time. If you're looking for a fast, versatile, easy to use computer (and want to stop worrying abut virus attacks) and are willing to try something off the beaten path, you'll love this elegant new iMac G5. If you want a larger screen and hard drive, consider the iMac G5 with  20 inch screen.",288,Apple Computer,1100.0,"Apple iMac G5 Desktop with 17"" M9249LL/A (1.80 GHz PowerPC G5, 256 MB RAM, 80 GB Hard Drive, SuperDrive)",ComputerHardwareType->Desktop Computer,Binding->Personal Computers,CPUManufacturer->PowerPC,Brand->Apple,CPUSpeed->1.8,"Feature->17-inch widescreen TFT active-matrix LCD, 1440 x 900 pixels","Feature->Two FireWire 400 ports; three USB 2.0 ports, two USB 1.1 ports (on keyboard); VGA output; S-video and composite video output",Feature->Built-in 10/100BASE-T Ethernet and 56K V.92 modem,FloppyDiskDriveDescription->None,GraphicsCardInterface->AGP,GraphicsDescription->NVIDIA GeForce FX 5200 Ultra,GraphicsMemorySize->64,HardDiskSize->80,"IncludedSoftware->Mac OS X version 10. 3 includes Classic environment, Mail, iChat AV, Safari, Sherlock, Address Book, QuickTime, iSync, iCal, iLife (includes iTunes, iPhoto, iMovie, iDVD and GarageBand), AppleWorks, Quicken 2004 for Mac, World Book 2004 Edition, Nanosaur 2, Marble Blast Gold, Microsoft Office 2004 for Mac Test Drive and Apple Hardware Test",KeyboardDescription->Apple Keyboard,Label->Apple Computer,CPUType->PowerPC G5,DisplaySize->17,EAN->0718908519059,"Feature->1.8 GHz PowerPC G5 running Mac OS X version 10.3 ""Panther""","Feature->256 MB DDR SDRAM, 80 GB hard drive, SuperDrive (DVD-R/CD-RW)"
605662,A30AXUOZHZ1T61,0,1,38,B0002OG6MU,2/23/2005,5,5,5,Look at the latest enhancement - color iPod for the same price!!,"**** LATEST update to iPod family **** - iPod & iPod photo lines merged; no more iPod photo 30 GB - iPod comes in two capacities - 20 GB ($299), 60 GB ($399) with color screen & photo support - U2 iPod (20 GB) down to $329 from $349 - with color screen & photo support - iPod shuffle 1 GB down to $129 from $149 - iPod 60 GB down to $399 from $449 - new version of iTunes (4.9) that support podcasts *************************************** This is not a review of iPod 20 GB as such - great reviews are available already. Here is some information that might help in deciding which iPod to go for. You may want to look at iPod photo 30 GB instead of this product, from now onwards...  With just $50 more, you get a iPod photo 30 GB with a color screen! Today (23 Feb 2005), Apple announced a major change in its iPod lineup and here is how it affects iPod 40 GB and iPod photo models: > iPod 40 GB is discontinued > iPod photo 40 GB is discontinued > iPod photo 30 GB (new product) replaces the 40 GB iPod photo and the regular iPod 40 GB > iPod photo 60 GB now costs $150 less -- $449 instead of $599 > iPod photo 30 GB costs $349 ($150 less than iPod photo 40 GB and $50 less than regular iPod 40 GB) > iPod dock ($39), AV cable ($19), carrying case ($29), and firewire cable ($19) do not ship with iPod photo (have to be bought separately if you need) > So, now we get only three things with the iPod: earphones, AC adapter, USB 2.0 cable > iPod photo Camera Connector is introduced - this can be used for connecting your digital camera directly to the iPod Since I have iPod 40 GB as well as iPod photo 60 GB, I strongly recommend iPod photo for those who are looking beyond the iPod 20 GB. The color screen has much better resolution and it also has a scrolling feature for long texts. Of course, the ability to store and view the photos is a great value addition too.",16698,Hewlett Packard,349.99,Apple 20 GB iPod from HP (MP102),EAN->0829160429205,Binding->Electronics,"Feature->Holds up to 5,000 songs",Brand->Hewlett-Packard,Feature->Up to 12 hours continuous backup with rechargeable Lithium-Ion battery,Manufacturer->Hewlett Packard,Model->PE435A#ABA,MPN->PE435A#ABA,NumberOfItems->1,PackageDimensions,ProductGroup->CE,Publisher->Hewlett Packard,Studio->Hewlett Packard,Title->Apple 20 GB iPod from HP (MP102),UPC->829160429205,Warranty->1 year warranty,Feature->Innovative Click Wheel makes navigation easier,Feature->Synchs up with your PC efforllessly with the included USB 2.0 and Firewire cables,Feature->1 year limited hardware warranty with 1 year toll-free 24x7x365 phone support,Label->Hewlett Packard,ListPrice
614730,A1JWSDDIH5Z7DV,0,1,3,B0002A6YBC,9/14/2004,5,13,22,Desktop supercomputer.,"Apple is, quite simply, the best and most innovative computer manufacturer. A recent user survey in PC magazine identified Apple computers as the most reliable and easiest to use computers currently available and and for two years in a row PC magazine has picked Apple's Macintosh G5 as the best multimedia desktop computer. When PC people and PC magazine pick Apple computers as the best maybe potential PC buyers should rethink and seriously consider Apple computers. Now Apple has an even more powerful Macintosh G5 computer with dual 2.5 GHz processors. Yes, most people use Windows-based PCs, but do you want to be just another member of the PC herd -- with all of the problems and frustrations presented by Windows-based PCs -- or are you looking for a computer which is user friendly, seldom crashes, and is virtually impervious to virus attacks? If these virtues are more important to you than being one of the crowd, please seriously consider buying an Apple computer. The Power Mac G5 is Apple's top-of-the-line computer series and this is the most powerful G5 ever -- essentially a desktop supercomputer. Like all Power Mac G5s this computer is more than twice as fast as a Pentium 4 with the same clock speed and has dual 64-bit processors. All computers will have 64-bit processors some day but very few PCs, except for Mac G5s, have them at this time. If you're looking for a super fast, versatile, easy to use computer (and want to stop worrying abut virus attacks) and are willing to try something off the beaten path, you'll love this new Power Mac G5. If you want the virtues of Apple computers and G5 power at a lower price consider the Power Mac G5s with dual 1.8 GHz or dual 2.0 GHz processors or the new G5 iMacs.",593,Apple Computer,2700.0,"Apple Power Mac G5 Desktop M9457LL/A (Dual 2.5-GHz Power PC G5, 512 MB RAM, 160 GB Hard Drive, SuperDrive)",ComputerHardwareType->Desktop Computer,Binding->Personal Computers,CPUManufacturer->PowerPC,Brand->Apple,CPUSpeed->2.5,GraphicsMemorySize->128,HardDiskSize->160,"IncludedSoftware->iLife (includes iTunes, iPhoto, iMovie, iDVD and GarageBand), Art Directors Toolkit, EarthLink TotalAccess 2004, GraphicConverter, OmniGraffle, OmniOutliner, QuickBooks for Mac New User Edition, Zinio Reader, Mail, iChat AV, Safari, Sherlock, Address Book, QuickTime, iSync, iCal, DVD Player, Classic environment, Xcode Developer Tools",KeyboardDescription->Apple Keyboard,Label->Apple Computer,ListPrice,Manufacturer->Apple Computer,MemorySlotsAvailable->7,Model->M9457LL/A,ModemDescription->56 Kbps,MPN->M9457LL/A,CPUType->PowerPC G5,EAN->0718908624654,FloppyDiskDriveDescription->None,GraphicsCardInterface->Integrated,GraphicsDescription->ATI RADEON 9600 XT with 128MB DDR SDRAM
614741,A1JWSDDIH5Z7DV,0,1,7,B0002A6XCW,7/4/2004,5,8,14,Entry-level version of the outstanding Macintosh G5 series.,"Apple is, quite simply, the best and most innovative computer manufacturer. A recent user survey in PC magazine identified Apple computers as the most reliable and easiest to use computers currently available and last year Apple's Macintosh G5 was designated computer of the year. Yes, most people use Windows-based PCs, but do you want to be just another member of the PC herd -- with all of the problems and frustrations presented by Windows-based PCs -- or are you looking for a computer which is user friendly, seldom crashes, and is virtually impervious to virus attacks? If these virtues are more important to you than being one of the crowd, please seriously consider buying a Macintosh computer. The Power Mac G5 is Apple's top-of-the-line computer series and this is the lowest-priced G5, so it's a terrific way to get a powerful, user friendly Macintosh computer at a very reasonable price. Like all Power Mac G5s this is very fast computer -- more than twice as fast as a Pentium 4 with the same clock speed -- and has dual 64-bit processors. All computers will have 64-bit processors some day but very few PCs, except for Mac G5s, have them at this time. If you're looking for a fast, versatile, easy to use computer (and want to stop worrying abut virus attacks) and are willing to try something off the beaten path, you'll love this new PowerMac G5. If you want even more speed, consider the G5 with dual 2.0 GHz processors.",570,Apple Computer,1700.0,"Apple Power Mac G5 Desktop M9454LL/A (Dual 1.8-GHz Power PC G5, 256 MB RAM, 80 GB Hard Drive, SuperDrive)",ComputerHardwareType->Desktop Computer,Binding->Personal Computers,CPUManufacturer->PowerPC,Brand->Apple,CPUSpeed->1.8,Feature->80GB serial ATA hard drive,Feature->Super Drive (DVD-RW/CDRW),FloppyDiskDriveDescription->None,GraphicsCardInterface->Integrated,GraphicsDescription->NVIDIA GeForce FX 5200 Ultra,GraphicsMemorySize->64,HardDiskSize->80,"IncludedSoftware->iLife (includes iTunes, iPhoto, iMovie, iDVD and GarageBand), Art Directors Toolkit, EarthLink TotalAccess 2004, GraphicConverter, OmniGraffle, OmniOutliner, QuickBooks for Mac New User Edition, Zinio Reader, Mail, iChat AV, Safari, Sherlock, Address Book, QuickTime, iSync, iCal, DVD Player, Classic environment, Xcode Developer Tools",KeyboardDescription->Apple Keyboard,Label->Apple Computer,ListPrice,CPUType->PowerPC G4,EAN->0718908624678,Feature->Dual 64-bit PowerPC G5 processors,"Feature->Dual independent 1.8GHz frontside buses and 256MB 400MHz 128-bit DDR memory, with up to 4GB of system memory capacity",Feature->AGP 8X Pro graphics
620423,A1MF4SD5H7U9UB,0,0,2,B00022TN6S,12/28/2005,5,1,2,Cheaper on sony.com,$24.95 on sony.com,23579,Sony,20.78,Sony 128 MB X2 Memory Stick Select Media (MSH-128S2),EAN->0027242641013,Binding->Electronics,Feature->Two 128 MB memory compartments on one stick,Brand->Sony,Feature->One simple switch changes you from one compartment to the other,ListPrice,Manufacturer->Sony,Model->MSH128S2,MPN->MSH128S2,PackageDimensions,ProductGroup->CE,Publisher->Sony,Studio->Sony,Title->Sony 128 MB X2 Memory Stick Select Media (MSH-128S2),UPC->027242641013,,Feature->Allows double the storage on older devices that are limited to 128 MB,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Sony
632633,A30AXUOZHZ1T61,0,1,494,B0001A99MO,2/23/2005,5,12,12,The latest news about iPod mini and more...,"**** LATEST update to iPod family **** - iPod & iPod photo lines merged; no more iPod photo 30 GB - iPod comes in two capacities - 20 GB ($299), 60 GB ($399) with color screen & photo support - U2 iPod (20 GB) down to $329 from $349 - with color screen & photo support - iPod shuffle 1 GB down to $129 from $149 - iPod 60 GB down to $399 from $449 - new version of iTunes (4.9) that support podcasts *************************************** Apple announced a major upgrade to the iPod lineup today (23 Feb 2005) and here is how it affects the mini: The biggest advantage is the reduction in price ($ per GB) and improvement in battery life. Another significant change is that USB 2.0 is being emphasized although FireWire continues to be supported.  AC adapter is USB based instead of FireWire and the FireWire based AC adapter still sells as a separate product for $29. > A new model, iPod mini 6 GB is introduced for $249 > iPod mini 4 GB now priced at $199 ($50 down from earlier price) > Change in colors - now mini is available in new shades of Silver, Blue, Pink, and Green (the Gold color is discontinued) > Major improvement in battery life - up to 18 hours (was 8 hours earlier) > AC adapter ($29) and firewire cable ($19) no longer ship with mini (have to be bought seperately if you need) > iPod mini 4 GB and 6 GB now ship with only three things: earphones, belt clip, and USB 2.0 cable > The indicators on the click wheel now match the color of the iPod mini Also, the higher models of iPod have been upgraded: > iPod 40 GB is discontinued > iPod photo 40 GB is discontinued > iPod photo 30 GB (new product) replaces the 40 GB iPod photo and the regular iPod 40 GB > iPod photo 60 GB now costs $150 less -- $449 instead of $599 > iPod photo 30 GB costs $349 ($150 less than iPod photo 40 GB and $50 less than regular iPod 40 GB) > iPod dock ($39), AV cable ($19), carrying case ($29), and firewire cable ($19) do not ship with iPod photo (you may not really need them) > Now we get three things with iPod photo: earphones, USB based AC adapter, USB 2.0 cable > In additon to the above, a firewire cable continues to ship with iPod 20 GB & iPod U2 edition > iPod photo Camera Connector is introduced - this can be used for connecting your digital camera directly to the iPod With these changes, there is an interesting $50 gap between: > iPod 20 GB and iPod photo 30 GB > iPod mini 6 GB and iPod 20 GB (as earlier) > iPod mini 4 GB and iPod mini 6 GB > iPod shuffle 1 GB and iPod mini 4 GB > iPod shuffle 512 MB and iPod shuffle 1 GB (as earlier) I am sure iPods are going to win more and more friends.",4587,Apple Computer,249.0,Apple 4 GB iPod Mini Silver M9160LL/A,Brand->Apple,BatteriesIncluded->1,Color->Silver,Binding->Electronics,EAN->0718908513590,Label->Apple Computer,ListPrice,Manufacturer->Apple Computer,Model->M9160LL/A,MPN->M9160LL/A,PackageDimensions,ProductGroup->CE,Publisher->Apple Computer,"SpecialFeatures->Apple engineers squeezed all the best features of iPod into a case weighing just 3.6 ounces and smaller than any cell phone. iPod mini features an anodized aluminium case that resists stains and scratches. Like its (slightly) bigger brother, iPod mini gives you over 25 minutes of skip protection and lasts up to 8 hours on a single battery charge. So you wonÔt pay a penalty for miniaturization.",Studio->Apple Computer,Title->Apple 4 GB iPod Mini Silver M9160LL/A,"Feature->4 GB model holds up to 1,000 songs; supports MP3, AAC, WAV, MP3 VBR, Audible (6), and AIFF formats",Feature->Mac and Windows compatible; FireWire and USB 2.0 interface for fastest digital transfer available,Feature->1.67 inch (diagonal) backlit screen displays full song names and more,Feature->More than 8 hour battery life on a 3 hour charge (1-hour fast charge to 80% capacity),"Feature->Comes with earbud headphones, belt clip, AC adapter, FireWire cable, and USB 2.0 cable"
644988,AGBEBPFW0JIFT,0,0,120,B0000CEORU,7/20/2004,1,9,13,Where is the New IPod on Amazon,Apple announced a new IPod with a battery life of 12 hours and $100 cheaper.  Amazon is selling their IPods at the new low price but do these models have the new 12 hour battery life?  I have written Amazon three times now asking this question and they won't give me a straight answer.  Don't buy this product until Amazon starts selling the 12 hour batteries.,13507,Apple Computer,219.95,"Apple iPod - Digital player - HD 20 GB - AAC, MP3",Color->black,Binding->Electronics,EAN->0718908519547,Brand->Apple,Label->Apple Computer,Studio->Apple Computer,"Title->Apple iPod - Digital player - HD 20 GB - AAC, MP3",UPC->718908519547,Warranty->1 year warranty,,,,,,,,Manufacturer->Apple Computer,MPN->M9244LL/A,PackageDimensions,ProductGroup->CE,Publisher->Apple Computer
